STA	DIST	AmpRatio	dT
SKR	3,203	0,28	480,61
APCB	3,484	0,28176	480,615
KRM	4,068	0,47223	479,615
PETB	4,405	0,45397	480,155
PET1	4,410	0,40153	480,145
PET	4,410	0,40233	480,16
NGL	5,233	0,2217	480,115
OKH	5,426	0,4263	479,655
LZAE	5,429	0,15169	482,525
LZAC	5,513	0,257	480,715
LZLA	5,514	0,26796	480,665
LZ1	5,573	0,14664	480,59
LZBB	5,609	0,1519	479,875
LZ2	5,639	0,16387	481,19
CPUP	5,640	0,1616	480,48
ESO	5,641	0,40994	479,65
TYV	5,699	0,40393	479,985
KZV	5,970	0,30472	479,37
GO03	6,178	0,37159	479,965
KIR	6,407	0,28695	479,42
BZW	6,486	0,56935	479,245
PLSP	6,552	0,39812	479,535
BZG	6,569	0,37878	479,31
PLAR	6,642	0,27532	478,8
KRS	6,656	0,27668	479,42
CIR	6,686	0,31086	479,07
PLTT	6,693	0,28281	480,285
PLWB	6,696	0,18468	479,795
PLAN	6,703	0,34794	480,11
UGL1	6,779	0,28288	479,19
PLRR	6,798	0,28253	480,02
PLSE	6,823	0,23183	480,595
GO04	6,833	0,21838	480,375
PLCO	6,882	0,20819	480,1
PLBR	6,918	0,2166	479,895
TIGL	6,936	0,27421	478,96
PLLA	6,980	0,42425	479,975
PLMN	6,991	0,24762	479,6
PLSQ	7,017	0,28731	479,985
PL03	7,041	0,38312	479,825
PLSM	7,107	0,4287	480,185
PLCL	7,174	0,55329	480,045
PLLC	7,226	0,31504	479,855
PLHS	7,231	0,35112	480,305
SMK	7,277	0,27801	478,89
KUR	7,329	0,20632	479,14
DOL	7,455	0,31057	478,61
UTSM	7,679	0,46936	479,76
UTTM	7,680	0,53796	479,42
NVA	7,689	0,14297	479,145
KBG	7,710	0,28687	477,29
YSS	7,721	0,18217	478,42
SSH	7,722	0,15547	478,8
KBG	7,729	0,45024	477,265
UTQU	7,729	0,22025	479,815
KBT	7,740	0,23414	478,72
UTLV	7,757	0,2639	480,065
UTCA	7,775	0,12803	479,305
UTZN	7,792	0,25205	478,61
A741	7,816	0,27979	479,185
A732	7,816	0,19492	480,24
UTLA2	7,826	0,26378	479,735
UTMK	7,885	0,34381	479,6
UTSS	7,907	0,33078	479,87
UTKH	7,938	0,30772	479,645
KOR	7,945	0,2318	479,46
UTLO	7,958	0,26418	479,62
KHL	8,002	0,38017	480,205
UTLL	8,010	0,42331	479,83
NEV	8,360	0,36529	480,275
TE13	8,423	0,19591	478,13
TE12	8,452	0,49367	478,345
TE11	8,470	0,46128	479,05
TE10	8,510	0,49642	479,27
TE09	8,548	0,25789	478,995
TE08	8,564	0,2137	478,96
TE07	8,593	0,19747	478,92
TE06	8,620	0,21385	478,91
TE05	8,650	0,20478	479,145
TE04	8,683	0,20445	478,915
TE03	8,704	0,22324	478,825
TE02	8,735	0,25374	478,98
TE01	8,763	0,22624	478,965
TN09	8,828	0,61423	478,77
TN10	8,839	0,54015	478,725
TN11	8,849	0,47065	478,49
TN12	8,860	0,40053	478,71
YUK	8,958	0,14719	477,855
SYNH	9,193	0,12168	478,68
SFNH	9,231	0,05734	477,815
SFSH	9,276	0,07296	477,505
HTBH	9,278	0,3174	477,9
JSE	9,349	0,24219	477,91
JWK2	9,366	0,17609	478,195
SYSH	9,375	0,09414	477,96
WNEH	9,418	0,15657	479,605
UNNH	9,449	0,14035	477,46
NTBH	9,495	0,0699	477,315
HNBH	9,496	0,12195	477,975
WNWH	9,512	0,16661	478,17
SRMH	9,531	0,19346	478,105
OPEH	9,534	0,15903	477,635
STSH	9,551	0,1731	477,77
KMZH	9,552	0,09514	477,705
TYTH	9,561	0,24132	477,62
OUMH	9,570	0,10916	478,345
OPWH	9,584	0,09951	478,015
MMBH	9,591	0,07698	477,255
ONPH	9,613	0,04946	477,96
OSS	9,614	0,19981	477,47
NEM2	9,638	0,17207	477,78
NMR	9,638	0,16845	477,785
TSOH	9,660	0,10659	476,755
BFEH	9,661	0,25721	479,1
JTKR	9,667	0,16861	477,595
RBN	9,688	0,13535	477,48
MDD	9,689	0,17199	477,735
TNK	9,709	0,10121	478,02
BFNH	9,735	0,1387	477,575
JNK	9,738	0,11418	477,55
BKEH	9,756	0,21475	477,7
TUNH	9,759	0,07697	477,595
BHRH	9,763	0,07589	477,405
JRR	9,768	0,14026	477,5
SWEH	9,773	0,1075	477,97
NAWH	9,790	0,1228	477,43
RBS	9,790	0,11258	477,57
NBT1	9,801	0,18959	477,085
TRQA	9,834	0,11569	478,04
JMP	9,835	0,19177	477,64
BFWH	9,849	0,26419	477,19
TUSH	9,850	0,12426	477,6
SWWH	9,851	0,40926	477,95
BKWH	9,860	0,17194	477,47
KUT	9,901	0,14606	477,425
HTU	9,901	0,14705	477,145
SCNH	9,919	0,17799	477,445
KNP	9,920	0,18635	477,43
HNKH	9,931	0,12884	477,55
MSR	9,962	0,19458	477,345
GO05	9,972	0,21079	477,7
ASAJ	10,035	0,18175	477,33
ANNH	10,050	0,13765	479,69
HONH	10,053	0,15086	478,01
SCSH	10,057	0,1985	477,61
OKEH	10,075	0,16538	477,45
JSS	10,108	0,26183	478
TREH	10,131	0,25575	476,825
RKBH	10,159	0,18128	477,335
AYEH	10,161	0,16112	477,22
TRWH	10,162	0,11049	477,785
